queryId	targetId	percentIdentity	alignmentLength	mismatches	gapOpenings	queryStart	queryEnd	targetStart	targetEnd	eValue	bitScore
EOSBI6J01C9KVZ	gi|121582466|ref|NC_008765.1|	100.0	242	0	0	1	242	59354	59113	5.0E-138	480.0
EOSBI6J01AT77B	gi|121582466|ref|NC_008765.1|	100.0	20	0	0	30	49	27426	27445	1.0E-5	40.1
EOSBI6J01BU7CU	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	94	112	68754	68772	5.0E-5	38.2
EOSBI6J01CO4FI	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	6	24	48120	48138	6.0E-5	38.2
EOSBI6J01C4KAL	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	107	125	53399	53381	6.0E-5	38.2
EOSBI6J02GLMP0	gi|121582466|ref|NC_008765.1|	100.0	20	0	0	117	136	3096	3115	1.0E-5	40.1
EOSBI6J01D5CQ5	gi|121582466|ref|NC_008765.1|	100.0	20	0	0	117	136	56192	56173	1.0E-5	40.1
EOSBI6J02HG3N6	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	94	112	55038	55020	6.0E-5	38.2
EOSBI6J02HM649	gi|121582466|ref|NC_008765.1|	96.15	26	1	0	136	161	58182	58157	9.0E-7	44.1
EOSBI6J01CIDEU	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	109	127	12383	12365	6.0E-5	38.2
EOSBI6J02GG3FI	gi|121582466|ref|NC_008765.1|	95.83	24	1	0	50	73	55718	55741	1.0E-5	40.1
EOSBI6J01D7I9B	gi|121582466|ref|NC_008765.1|	100.0	20	0	0	180	199	44820	44801	1.0E-5	40.1
EOSBI6J02I0D9Z	gi|121582466|ref|NC_008765.1|	93.94	33	2	0	85	117	54699	54731	2.0E-8	50.1
EOSBI6J02G9UVF	gi|121582466|ref|NC_008765.1|	100.0	21	0	0	182	202	51845	51865	4.0E-6	42.1
EOSBI6J01ET6IM	gi|121582466|ref|NC_008765.1|	99.54	219	1	0	1	219	58595	58813	6.0E-122	426.0
EOSBI6J01BAZMP	gi|121582466|ref|NC_008765.1|	100.0	141	0	0	1	141	59717	59857	9.0E-78	280.0
EOSBI6J01D5UXY	gi|121582466|ref|NC_008765.1|	88.89	36	4	0	138	173	54699	54734	2.0E-5	40.1
EOSBI6J02H0B7I	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	1	19	64076	64058	5.0E-5	38.2
EOSBI6J02G1GFR	gi|121582466|ref|NC_008765.1|	99.13	229	2	0	1	229	58629	58857	4.0E-126	440.0
EOSBI6J01D8CIW	gi|121582466|ref|NC_008765.1|	100.0	235	0	0	1	235	57848	57614	7.0E-134	466.0
EOSBI6J01CSPXJ	gi|121582466|ref|NC_008765.1|	100.0	22	0	0	49	70	35833	35854	9.0E-7	44.1
EOSBI6J01AIXCR	gi|121582466|ref|NC_008765.1|	100.0	20	0	0	88	107	56028	56009	1.0E-5	40.1
EOSBI6J02I6LY2	gi|121582466|ref|NC_008765.1|	87.18	39	5	0	7	45	18442	18404	6.0E-5	38.2
EOSBI6J01DZRCI	gi|121582466|ref|NC_008765.1|	95.65	23	1	0	69	91	64546	64524	6.0E-5	38.2
EOSBI6J02G6HAH	gi|121582466|ref|NC_008765.1|	100.0	227	0	0	1	227	57362	57136	4.0E-129	450.0
EOSBI6J02FSP4G	gi|121582466|ref|NC_008765.1|	95.65	23	1	0	134	156	41722	41700	6.0E-5	38.2
EOSBI6J02JL1LX	gi|121582466|ref|NC_008765.1|	95.83	24	1	0	148	171	37211	37188	1.0E-5	40.1
EOSBI6J01AF3DH	gi|121582466|ref|NC_008765.1|	100.0	61	0	0	1	61	56712	56652	4.0E-30	121.0
EOSBI6J02I3BW8	gi|121582466|ref|NC_008765.1|	90.57	53	5	0	68	120	51920	51972	3.0E-13	65.9
EOSBI6J01DWYYS	gi|121582466|ref|NC_008765.1|	99.59	246	1	0	1	246	10780	11025	5.0E-138	480.0
EOSBI6J01C14TS	gi|121582466|ref|NC_008765.1|	100.0	21	0	0	155	175	15239	15259	4.0E-6	42.1
EOSBI6J01D5ZY2	gi|121582466|ref|NC_008765.1|	100.0	227	0	0	1	227	56854	57080	4.0E-129	450.0
EOSBI6J01BGN4W	gi|121582466|ref|NC_008765.1|	96.0	25	1	0	226	250	37367	37391	4.0E-6	42.1
EOSBI6J01AMCPD	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	163	181	38488	38470	6.0E-5	38.2
EOSBI6J02ILN8I	gi|121582466|ref|NC_008765.1|	95.83	24	1	0	204	227	38155	38178	1.0E-5	40.1
EOSBI6J02IS96Y	gi|121582466|ref|NC_008765.1|	100.0	19	0	0	100	118	51847	51865	6.0E-5	38.2
